Routes,RT-Di,Node-Di,RT-A,Node-A,RT-BiA,Node-BiA,PM,Distance,Ave_PM
L1,65,78494,67,63339,58,30688,67.53,7.96,8.483668342
L2,57,73048,61,62137,60,33728,78.16,8.16,9.578431373
L3,53,61015,63,56070,60,32059,68.75,8.74,7.866132723
M1,23,21613,26,14674,24,6218,32.28,3.86,8.362694301
M2,29,30172,31,23663,27,8948,42.2,4.37,9.656750572
M3,25,19520,23,12192,23,5113,35.1,3.47,10.11527378
S1,15,6512,16,4713,19,2785,22.84,1.49,15.32885906
S2,13,3161,14,2137,20,1136,13.8,1.27,10.86614173
S3,16,3990,16,2923,19,2210,17.19,1.7,10.11176471
